sentiment,text
1,Very slim
0,In my opinion she doesn't dance very well and we thought it was a bit exaggerated! Of course it's a matter of taste!
1,"Gym bag with nice thick cords, a divider compartment in the middle - a small zippered compartment for keys, etc. would probably have made more sense, the price is also a bit steep, but all in all worth the money because of the look, workmanship and the quilted part (unfortunately only embossed and not sewn, which you can only see from a very short distance) - a pretty piece with that certain something!"
0,I bought it without knowing what the thick material was like.
0,Bof
0,I can't get the app to open - keep getting error message after multiple attempts
0,"They recommended this shampoo to neutralize the orange tones of my discoloration and it works, after washing, my hair looks lighter but very dry, it only neutralizes, not hydrates."
1,Changing the earpieces of my Bose QC35. Easy to install
0,"After only 8 months, the enamel on the inside unfortunately chipped off. I really liked the pot and always washed it lovingly by hand! It is now starting to rust in these places.v.f."
0,I have not received Lon. I do not know where it is?
1,You take the Set
0,"The headset worked great for a few days. Everything was perfect. Then it just stopped working. It doesn't turn on, it doesn't charge, and it doesn't work at all. UNLESS it's connected via the 3.5mm jack cable. It's just ridiculous for the price. I'm going to send it back and see if a new one lasts longer."
0,The delivery is slow and the packaging is unreasonable. There are only three peaches in a box that are barely edible.
1,"The quality is very good, I can rest assured that it is genuine, and the delivery speed would be better!"
0,Delivery problem
1,Great message without a word being spoken.
1,"I bought this because I was sleeping on a futon in a Western-style room and the floor was hard and it was getting cold. When using it, it feels like a hard sponge. When you put it under your futon, it's fluffier and warmer than when you don't have it, and it's much more comfortable than a single futon. I've been using it for about a month, but it hasn't gotten any worse. I think it's a very good product, but I wish the packaging was a little simpler. I often have trouble disposing of Amazon's boxes..."
1,I'm not sure if it works with long hair but for kids with short hair it helps to reduce the time with the hair dryer.
0,"Super small vinyl sticker. It is my fault for not reading the description thoroughly enough. This decal is not for a fence like it looks like it should be. It goes on glass only, not a fence."
0,"The safety gauge that appears when backing up is completely different from the one in the product introduction and is very cool! After that, it was installed normally in a hot car, but the iron plate on the back of the camera fell off due to the heat.This is not normal! The SD card is a useless product that will never come out once you insert it."
0,Broke after 2 days
1,"fit exactly, gladly again"
0,"The product I ordered was not a flash sale product and it had not been shipped after half a month, so I had to cancel it!"
0,"Installation is very troublesome, the four legs are not all the same length"
1,"Thank you for your quick response. The product is compact and easy to clean, and is cordless, making it very convenient."
1,"All good, 207 km. behind us on the way to Santiago. Perfect."
1,The product adheres perfectly to the S9 Plus.
